id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
71;gtln2.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
72;chime.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
73;walgreens.sandbox01.wheel.health;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
74;www.crhlth.to;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
75;betsson.fr;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
76;m.gopuff.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
77;www.zigota.co.il;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
78;support.strip;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
79;gxmble.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
80;www.yychomes.net;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
81;zappit.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
912;air.chat;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
83;kvy8.io;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
84;help.super.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
85;amazon.pl;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
86;blu1.co;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
87;gcpayonline.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
88;airdrop-bybit.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
89;smsq.com.de;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
90;eej.at;f;f;f;DATA_INTERESTING_DESC_NO_AD
91;dd.me;f;f;f;DATA_INTERESTING_DESC_NO_AD
92;prm.ms;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
93;l.mrbit.vin;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
94;ewzvve.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
